epoch,loss,val_loss
1,0.0102,0.0043
2,0.0043,0.0042
3,0.0035,0.003
4,0.0031,0.0033
5,0.0029,0.0025
6,0.0026,0.0026
7,0.0024,0.0026
8,0.0023,0.0026
9,0.0022,0.0031
10,0.002,0.0029
11,0.0019,0.0023
12,0.0019,0.0022
13,0.0019,0.0021
14,0.0018,0.0025
15,0.0018,0.002
16,0.0017,0.002
17,0.0017,0.0022
18,0.0017,0.002
19,0.0017,0.0021
20,0.0016,0.0022
21,0.0016,0.0023
22,0.0016,0.0021
23,0.0015,0.002
24,0.0015,0.0023
25,0.0015,0.0022
26,0.0015,0.0021
27,0.0015,0.0023
28,0.0014,0.0021
29,0.0014,0.002
30,0.0014,0.002
31,0.0014,0.0022
32,0.0014,0.0021
33,0.0014,0.0022
34,0.0014,0.002
35,0.0014,0.0021
36,0.0014,0.002
37,0.0014,0.0021
38,0.0014,0.0022
39,0.0014,0.0021
40,0.0014,0.0021
