datetime,patients,day_of_week,day_of_week_name,month,is_weekend,holiday,holiday_name,weather,weather_type,weather_severity,hospital capacity,is_capped,is_emergency,emergency_spike,is_outbreak,outbreak_intensity,is_staff_shortage,staff_shortage_impact,scenario_primary,scenario_code,y_patients_t_plus_1,y_patients_t_plus_24,hour,season,week_of_year,shift_period,is_holiday,is_holiday_or_event,event_flag,arrivals,admissions,discharges,transfers,emergency_arrivals,elective_arrivals,waiting_patients,avg_wait_time_minutes,occupancy_rate,bed_occupancy,occupied_beds,available_beds,available_doctors,available_nurses,staff_on_duty,doctor_shortage,nurse_shortage,bed_shortage,appointments_count,or_bookings_count,delayed_discharge_count,department_pressure_score,er_pressure_score,doctors_available,nurses_available,lag_1,lag_24,roll_mean_3,roll_mean_6,roll_mean_24,predicted_patients_next_hour
2024-01-01 00:00:00,128,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,121,128,0,Winter,1,Night,1,1,1,25,11,12,1,10,15,5,32,0.587,0.587,128,90,36,82,118,0,0,45,1,1,0,43.48,48.7,36,82,128,128,128.0,128.0,128.0,121
2024-01-01 01:00:00,121,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,122,130,1,Winter,1,Night,1,1,1,25,11,11,1,10,15,5,32,0.58,0.58,126,92,36,82,118,0,0,36,0,0,0,42.8,47.94,36,82,128,128,128.0,128.0,128.0,122
2024-01-01 02:00:00,122,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,121,128,2,Winter,1,Night,1,1,1,22,9,11,1,8,14,6,35,0.58,0.58,126,92,36,82,118,0,0,37,5,2,0,45.65,51.13,36,82,121,128,124.5,124.5,124.5,121
2024-01-01 03:00:00,121,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,123,130,3,Winter,1,Night,1,1,1,19,8,15,1,7,12,4,29,0.58,0.58,126,92,36,82,118,0,0,36,3,0,0,41.95,46.98,36,82,122,128,123.67,123.67,123.67,123
2024-01-01 04:00:00,123,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,129,126,4,Winter,1,Night,1,1,1,23,10,11,1,9,14,2,24,0.58,0.58,126,92,36,82,118,0,0,38,6,3,0,39.5,44.24,36,82,121,128,121.33,123.0,123.0,129
2024-01-01 05:00:00,129,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,154,125,5,Winter,1,Night,1,1,1,19,8,12,1,7,12,4,29,0.592,0.592,129,89,36,82,118,0,0,47,4,1,0,42.9,48.05,36,82,123,128,122.0,123.0,123.0,154
2024-01-01 06:00:00,154,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,5,1,2,0,0,Outbreak Watch,3,154,162,6,Winter,1,Night,1,1,1,28,12,16,1,11,17,5,32,0.706,0.706,154,64,36,82,118,0,0,98,2,0,0,50.89,57.0,36,82,129,128,124.33,124.0,124.0,154
2024-01-01 07:00:00,154,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,4,1,2,0,0,Outbreak Watch,3,186,152,7,Winter,1,Morning,1,1,1,28,12,15,1,11,17,6,35,0.706,0.706,154,64,42,96,138,0,0,98,2,5,0,52.49,58.79,42,96,154,128,135.33,128.33,128.29,186
2024-01-01 08:00:00,186,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,1,15,1,2,0,0,Emergency Surge,1,201,193,8,Winter,1,Morning,1,1,1,41,18,20,1,16,25,10,50,0.853,0.853,186,32,42,96,138,0,0,164,18,4,1,71.69,80.29,42,96,154,128,145.67,133.83,131.5,201
2024-01-01 09:00:00,201,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,1,1,18,1,2,0,0,Emergency Surge,1,203,200,9,Winter,1,Morning,1,1,1,45,19,21,2,17,28,14,67,0.92,0.92,201,17,42,96,138,0,0,195,20,3,1,82.6,92.51,42,96,186,128,164.67,144.5,137.56,203
