datetime,patients,day_of_week,month,is_weekend,holiday,holiday,weather
2024-01-01 00:00:00,128,0,1,0,1,1,0
2024-01-01 01:00:00,121,0,1,0,1,1,0
2024-01-01 02:00:00,122,0,1,0,1,1,0
2024-01-01 03:00:00,121,0,1,0,1,1,0
2024-01-01 04:00:00,123,0,1,0,1,1,0
2024-01-01 05:00:00,129,0,1,0,1,1,0
2024-01-01 06:00:00,154,0,1,0,1,1,0
2024-01-01 07:00:00,154,0,1,0,1,1,0
2024-01-01 08:00:00,186,0,1,0,1,1,0
2024-01-01 09:00:00,201,0,1,0,1,1,0
2024-01-01 10:00:00,203,0,1,0,1,1,0
2024-01-01 11:00:00,210,0,1,0,1,1,0
2024-01-01 12:00:00,207,0,1,0,1,1,0
2024-01-01 13:00:00,185,0,1,0,1,1,0
2024-01-01 14:00:00,191,0,1,0,1,1,0
2024-01-01 15:00:00,180,0,1,0,1,1,0
2024-01-01 16:00:00,182,0,1,0,1,1,0
2024-01-01 17:00:00,172,0,1,0,1,1,0
2024-01-01 18:00:00,172,0,1,0,1,1,0
2024-01-01 19:00:00,173,0,1,0,1,1,0
2024-01-01 20:00:00,167,0,1,0,1,1,0
2024-01-01 21:00:00,154,0,1,0,1,1,0
2024-01-01 22:00:00,165,0,1,0,1,1,0
2024-01-01 23:00:00,161,0,1,0,1,1,0
2024-01-02 00:00:00,128,1,1,0,0,0,0
2024-01-02 01:00:00,130,1,1,0,0,0,0
2024-01-02 02:00:00,128,1,1,0,0,0,0
2024-01-02 03:00:00,130,1,1,0,0,0,0
2024-01-02 04:00:00,126,1,1,0,0,0,0
2024-01-02 05:00:00,125,1,1,0,0,0,0
2024-01-02 06:00:00,162,1,1,0,0,0,0
2024-01-02 07:00:00,152,1,1,0,0,0,0
2024-01-02 08:00:00,193,1,1,0,0,0,0
2024-01-02 09:00:00,200,1,1,0,0,0,0
2024-01-02 10:00:00,211,1,1,0,0,0,0
2024-01-02 11:00:00,202,1,1,0,0,0,0
2024-01-02 12:00:00,207,1,1,0,0,0,0
2024-01-02 13:00:00,192,1,1,0,0,0,0
2024-01-02 14:00:00,176,1,1,0,0,0,0
2024-01-02 15:00:00,188,1,1,0,0,0,0
2024-01-02 16:00:00,192,1,1,0,0,0,0
2024-01-02 17:00:00,172,1,1,0,0,0,0
2024-01-02 18:00:00,176,1,1,0,0,0,0
2024-01-02 19:00:00,171,1,1,0,0,0,0
2024-01-02 20:00:00,172,1,1,0,0,0,0
2024-01-02 21:00:00,162,1,1,0,0,0,0
2024-01-02 22:00:00,155,1,1,0,0,0,0
2024-01-02 23:00:00,155,1,1,0,0,0,0
2024-01-03 00:00:00,118,2,1,0,0,0,0
2024-01-03 01:00:00,119,2,1,0,0,0,0
2024-01-03 02:00:00,133,2,1,0,0,0,0
2024-01-03 03:00:00,121,2,1,0,0,0,0
2024-01-03 04:00:00,119,2,1,0,0,0,0
2024-01-03 05:00:00,126,2,1,0,0,0,0
2024-01-03 06:00:00,159,2,1,0,0,0,0
