datetime,patients,day_of_week,day_of_week_name,month,is_weekend,holiday,holiday_name,weather,weather_type,weather_severity,capacity,is_capped,is_emergency,emergency_spike,is_outbreak,outbreak_intensity,is_staff_shortage,staff_shortage_impact,scenario_primary,scenario_code,y_patients_t_plus_1,y_patients_t_plus_24
1/1/2025 0:00,73,2,Wednesday,1,0,1,new_year,1,rainy,0.453,260,0,0,0,0,0,0,0,holiday,1,66,67
1/1/2025 1:00,66,2,Wednesday,1,0,1,new_year,1,rainy,0.65,260,0,0,0,0,0,0,0,holiday,1,58,64
1/1/2025 2:00,58,2,Wednesday,1,0,1,new_year,2,cold,0.88,260,0,0,0,0,0,0,0,extreme_weather,2,64,66
1/1/2025 3:00,64,2,Wednesday,1,0,1,new_year,1,rainy,0.979,260,0,0,0,0,0,0,0,extreme_weather,2,71,61
1/1/2025 4:00,71,2,Wednesday,1,0,1,new_year,1,rainy,0.527,260,0,0,0,0,0,0,0,holiday,1,73,68
1/1/2025 5:00,73,2,Wednesday,1,0,1,new_year,2,cold,0.554,260,0,0,0,0,0,0,0,holiday,1,67,68
1/1/2025 6:00,67,2,Wednesday,1,0,1,new_year,2,cold,1,260,0,0,0,0,0,0,0,extreme_weather,2,77,73
1/1/2025 7:00,77,2,Wednesday,1,0,1,new_year,1,rainy,0.832,260,0,0,0,0,0,0,0,extreme_weather,2,86,76
1/1/2025 8:00,86,2,Wednesday,1,0,1,new_year,2,cold,0.85,260,0,0,0,0,0,0,0,extreme_weather,2,86,85
1/1/2025 9:00,86,2,Wednesday,1,0,1,new_year,2,cold,0.907,260,0,0,0,0,0,0,0,extreme_weather,2,91,91
1/1/2025 10:00,91,2,Wednesday,1,0,1,new_year,1,rainy,0.952,260,0,0,0,0,0,0,0,extreme_weather,2,100,96
1/1/2025 11:00,100,2,Wednesday,1,0,1,new_year,1,rainy,0.567,260,0,0,0,0,0,0,0,holiday,1,104,105
1/1/2025 12:00,104,2,Wednesday,1,0,1,new_year,0,sunny,0.312,260,0,0,0,0,0,0,0,holiday,1,107,111
1/1/2025 13:00,107,2,Wednesday,1,0,1,new_year,2,cold,0.914,260,0,0,0,0,0,0,0,extreme_weather,2,104,117
1/1/2025 14:00,104,2,Wednesday,1,0,1,new_year,0,sunny,0.097,260,0,0,0,0,0,0,0,holiday,1,113,115
1/1/2025 15:00,113,2,Wednesday,1,0,1,new_year,1,rainy,0.806,260,0,0,0,0,0,0,0,extreme_weather,2,109,125
1/1/2025 16:00,109,2,Wednesday,1,0,1,new_year,0,sunny,0.028,260,0,0,0,0,0,0,0,holiday,1,113,121
1/1/2025 17:00,113,2,Wednesday,1,0,1,new_year,2,cold,0.561,260,0,0,0,0,0,0,0,holiday,1,115,124
1/1/2025 18:00,115,2,Wednesday,1,0,1,new_year,2,cold,0.883,260,0,0,0,0,0,0,0,extreme_weather,2,107,121
1/1/2025 19:00,107,2,Wednesday,1,0,1,new_year,0,sunny,0.201,260,0,0,0,0,0,0,0,holiday,1,105,116
1/1/2025 20:00,105,2,Wednesday,1,0,1,new_year,0,sunny,0.105,260,0,0,0,0,0,0,0,holiday,1,97,107
1/1/2025 21:00,97,2,Wednesday,1,0,1,new_year,1,rainy,0.908,260,0,0,0,0,0,0,0,extreme_weather,2,86,100
1/1/2025 22:00,86,2,Wednesday,1,0,1,new_year,1,rainy,0.491,260,0,0,0,0,0,0,0,holiday,1,73,97
1/1/2025 23:00,73,2,Wednesday,1,0,1,new_year,5,windy,0.78,260,0,0,0,0,0,0,0,extreme_weather,2,67,88
1/2/2025 0:00,67,3,Thursday,1,0,0,random_or_none,3,hot,0.577,260,0,0,0,0,0,0,0,normal,0,64,80
1/2/2025 1:00,64,3,Thursday,1,0,0,random_or_none,2,cold,0.651,260,0,0,0,0,0,0,0,normal,0,66,77
1/2/2025 2:00,66,3,Thursday,1,0,0,random_or_none,2,cold,0.514,260,0,0,0,0,0,0,0,normal,0,61,75
1/2/2025 3:00,61,3,Thursday,1,0,0,random_or_none,0,sunny,0.148,260,0,0,0,0,0,0,0,normal,0,68,78
1/2/2025 4:00,68,3,Thursday,1,0,0,random_or_none,1,rainy,0.807,260,0,0,0,0,0,0,0,extreme_weather,2,68,75
1/2/2025 5:00,68,3,Thursday,1,0,0,random_or_none,0,sunny,0.014,260,0,0,0,0,0,0,0,normal,0,73,76
1/2/2025 6:00,73,3,Thursday,1,0,0,random_or_none,2,cold,0.923,260,0,0,0,0,0,0,0,extreme_weather,2,76,78
1/2/2025 7:00,76,3,Thursday,1,0,0,random_or_none,0,sunny,0.163,260,0,0,0,0,0,0,0,normal,0,85,80
1/2/2025 8:00,85,3,Thursday,1,0,0,random_or_none,2,cold,0.799,260,0,0,0,0,0,0,0,extreme_weather,2,91,88
1/2/2025 9:00,91,3,Thursday,1,0,0,random_or_none,2,cold,0.773,260,0,0,0,0,0,0,0,extreme_weather,2,96,98
1/2/2025 10:00,96,3,Thursday,1,0,0,random_or_none,0,sunny,0.131,260,0,0,0,0,0,0,0,normal,0,105,100
1/2/2025 11:00,105,3,Thursday,1,0,0,random_or_none,0,sunny,0.085,260,0,0,0,0,0,0,0,normal,0,111,112
1/2/2025 12:00,111,3,Thursday,1,0,0,random_or_none,2,cold,0.834,260,0,0,0,0,0,0,0,extreme_weather,2,117,113
1/2/2025 13:00,117,3,Thursday,1,0,0,random_or_none,1,rainy,0.74,260,0,0,0,0,0,0,0,normal,0,115,121
1/2/2025 14:00,115,3,Thursday,1,0,0,random_or_none,2,cold,0.589,260,0,0,0,0,0,0,0,normal,0,125,121
1/2/2025 15:00,125,3,Thursday,1,0,0,random_or_none,1,rainy,0.349,260,0,0,0,0,0,0,0,normal,0,121,170
1/2/2025 16:00,121,3,Thursday,1,0,0,random_or_none,1,rainy,0.831,260,0,0,0,0,0,0,0,extreme_weather,2,124,151
1/2/2025 17:00,124,3,Thursday,1,0,0,random_or_none,1,rainy,0.495,260,0,0,0,0,0,0,0,normal,0,121,149
1/2/2025 18:00,121,3,Thursday,1,0,0,random_or_none,2,cold,0.651,260,0,0,0,0,0,0,0,normal,0,116,142
1/2/2025 19:00,116,3,Thursday,1,0,0,random_or_none,1,rainy,0.533,260,0,0,0,0,0,0,0,normal,0,107,137
1/2/2025 20:00,107,3,Thursday,1,0,0,random_or_none,2,cold,0.499,260,0,0,0,0,0,0,0,normal,0,100,121
