datetime,patients,doctors_available,nurses_available,appointments_count,or_bookings_count,occupied_beds,waiting_patients,hour,day_of_week,month,week_number,is_weekend,season,holiday,lag_1,lag_24,roll_mean_3,roll_mean_6,roll_mean_24
2023-01-01 00:00:00,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,52,1,0,0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1,52,1,0,0,153.0,0.0,153.0,153.0,153.0
2023-01-01 02:00:00,255.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1,52,1,0,0,192.0,0.0,172.5,172.5,172.5
2023-01-01 03:00:00,192.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,1,52,1,0,0,255.0,0.0,200.0,200.0,200.0
2023-01-01 04:00:00,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,52,1,0,0,192.0,0.0,213.0,198.0,198.0
2023-01-01 05:00:00,180.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,52,1,0,0,165.0,0.0,204.0,191.4,191.4
2023-01-01 06:00:00,267.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,52,1,0,0,180.0,0.0,179.0,189.5,189.5
2023-01-01 07:00:00,264.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,1,52,1,0,0,267.0,0.0,204.0,208.5,200.57142857142858
2023-01-01 08:00:00,141.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,1,52,1,0,0,264.0,0.0,237.0,220.5,208.5
2023-01-01 09:00:00,225.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,1,52,1,0,0,141.0,0.0,224.0,201.5,201.0
2023-01-01 10:00:00,216.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,1,52,1,0,0,225.0,0.0,210.0,207.0,203.4
2023-01-01 11:00:00,246.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,1,52,1,0,0,216.0,0.0,194.0,215.5,204.54545454545453
2023-01-01 12:00:00,99.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,52,1,0,0,246.0,0.0,229.0,226.5,208.0
2023-01-01 13:00:00,81.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,1,52,1,0,0,99.0,0.0,187.0,198.5,199.6153846153846
2023-01-01 14:00:00,105.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,1,52,1,0,0,81.0,0.0,142.0,168.0,191.14285714285714
2023-01-01 15:00:00,180.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,1,52,1,0,0,105.0,0.0,95.0,162.0,185.4
2023-01-01 16:00:00,249.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,1,52,1,0,0,180.0,0.0,122.0,154.5,185.0625
