datetime,patients,hour,day_of_week,is_weekend,month,week_number,season,is_holiday,holiday,event_flag,shift_period,arrivals,admissions,discharges,waiting_patients,avg_wait_time_minutes,occupancy_rate,occupied_beds,available_beds,available_doctors,available_nurses,doctors_available,nurses_available,appointments_count,or_bookings_count,department_pressure_score,lag_1,lag_24,roll_mean_3,roll_mean_6,roll_mean_24,predicted_patients_next_hour
2024-01-01 00:00:00,128,0,0,0,1,1,Winter,1,1,1,Night,25,11,12,5,32,0.587,128,90,36,82,36,82,1,1,43.48,128,128,128.0,128.0,128.0,121
2024-01-01 01:00:00,121,1,0,0,1,1,Winter,1,1,1,Night,25,11,11,5,32,0.58,126,92,36,82,36,82,0,0,42.8,128,128,128.0,128.0,128.0,122
2024-01-01 02:00:00,122,2,0,0,1,1,Winter,1,1,1,Night,22,9,11,6,35,0.58,126,92,36,82,36,82,5,2,45.65,121,128,124.5,124.5,124.5,121
2024-01-01 03:00:00,121,3,0,0,1,1,Winter,1,1,1,Night,19,8,15,4,29,0.58,126,92,36,82,36,82,3,0,41.95,122,128,123.67,123.67,123.67,123
2024-01-01 04:00:00,123,4,0,0,1,1,Winter,1,1,1,Night,23,10,11,2,24,0.58,126,92,36,82,36,82,6,3,39.5,121,128,121.33,123.0,123.0,129
2024-01-01 05:00:00,129,5,0,0,1,1,Winter,1,1,1,Night,19,8,12,4,29,0.592,129,89,36,82,36,82,4,1,42.9,123,128,122.0,123.0,123.0,154
2024-01-01 06:00:00,154,6,0,0,1,1,Winter,1,1,1,Night,28,12,16,5,32,0.706,154,64,36,82,36,82,2,0,50.89,129,128,124.33,124.0,124.0,154
2024-01-01 07:00:00,154,7,0,0,1,1,Winter,1,1,1,Morning,28,12,15,6,35,0.706,154,64,42,96,42,96,2,5,52.49,154,128,135.33,128.33,128.29,186
2024-01-01 08:00:00,186,8,0,0,1,1,Winter,1,1,1,Morning,41,18,20,10,50,0.853,186,32,42,96,42,96,18,4,71.69,154,128,145.67,133.83,131.5,201
2024-01-01 09:00:00,201,9,0,0,1,1,Winter,1,1,1,Morning,45,19,21,14,67,0.92,201,17,42,96,42,96,20,3,82.6,186,128,164.67,144.5,137.56,203
2024-01-01 10:00:00,203,10,0,0,1,1,Winter,1,1,1,Morning,45,19,17,12,61,0.92,201,17,42,96,42,96,21,4,79.65,201,128,180.33,157.83,143.9,210
2024-01-01 11:00:00,210,11,0,0,1,1,Winter,1,1,1,Morning,48,21,19,16,72,0.92,201,17,42,96,42,96,22,5,86.3,203,128,196.67,171.17,149.27,207
2024-01-01 12:00:00,207,12,0,0,1,1,Winter,1,1,1,Morning,46,20,24,16,72,0.92,201,17,42,96,42,96,17,5,85.05,210,128,204.67,184.67,154.33,185
2024-01-01 13:00:00,185,13,0,0,1,1,Winter,1,1,1,Morning,33,14,19,9,47,0.849,185,33,42,96,42,96,17,5,69.57,207,128,206.67,193.5,158.38,191
2024-01-01 14:00:00,191,14,0,0,1,1,Winter,1,1,1,Morning,33,14,19,9,49,0.876,191,27,42,96,42,96,22,4,72.47,185,128,200.67,198.67,160.29,180
2024-01-01 15:00:00,180,15,0,0,1,1,Winter,1,1,1,Evening,33,14,18,6,37,0.826,180,38,42,96,42,96,16,5,63.14,191,128,194.33,199.5,162.33,182
2024-01-01 16:00:00,182,16,0,0,1,1,Winter,1,1,1,Evening,32,14,27,9,46,0.835,182,36,42,96,42,96,19,1,69.24,180,128,185.33,196.0,163.44,172
2024-01-01 17:00:00,172,17,0,0,1,1,Winter,1,1,1,Evening,29,12,29,5,32,0.789,172,46,42,96,42,96,4,5,56.34,182,128,184.33,192.5,164.53,172
2024-01-01 18:00:00,172,18,0,0,1,1,Winter,1,1,1,Evening,33,14,26,6,35,0.789,172,46,42,96,42,96,0,0,56.94,172,128,178.0,186.17,164.94,173
2024-01-01 19:00:00,173,19,0,0,1,1,Winter,1,1,1,Evening,34,15,28,6,35,0.794,173,45,42,96,42,96,6,2,58.71,172,128,175.33,180.33,165.32,167
2024-01-01 20:00:00,167,20,0,0,1,1,Winter,1,1,1,Evening,34,15,29,6,35,0.766,167,51,42,96,42,96,5,1,56.81,173,128,172.33,178.33,165.7,154
2024-01-01 21:00:00,154,21,0,0,1,1,Winter,1,1,1,Evening,27,12,13,3,26,0.706,154,64,42,96,42,96,5,1,48.44,167,128,170.67,174.33,165.76,165
2024-01-01 22:00:00,165,22,0,0,1,1,Winter,1,1,1,Evening,32,14,20,4,29,0.757,165,53,42,96,42,96,2,1,52.31,154,128,164.67,170.0,165.23,161
2024-01-01 23:00:00,161,23,0,0,1,1,Winter,1,1,1,Night,25,11,16,4,29,0.739,161,57,36,82,36,82,6,1,52.21,165,128,162.0,167.17,165.22,128
2024-01-02 00:00:00,128,0,1,0,1,1,Winter,0,0,0,Night,22,9,12,4,29,0.587,128,90,36,82,36,82,1,3,41.88,161,128,160.0,165.33,165.04,130
2024-01-02 01:00:00,130,1,1,0,1,1,Winter,0,0,0,Night,22,9,14,5,32,0.596,130,88,36,82,36,82,6,0,45.28,128,121,151.33,158.0,165.04,128
2024-01-02 02:00:00,128,2,1,0,1,1,Winter,0,0,0,Night,27,12,11,6,35,0.587,128,90,36,82,36,82,6,1,46.33,130,122,139.67,150.83,165.42,130
2024-01-02 03:00:00,130,3,1,0,1,1,Winter,0,0,0,Night,21,9,14,3,26,0.596,130,88,36,82,36,82,6,1,42.08,128,121,128.67,144.33,165.67,126
2024-01-02 04:00:00,126,4,1,0,1,1,Winter,0,0,0,Night,20,9,11,4,29,0.58,126,92,36,82,36,82,2,2,41.7,130,123,129.33,140.33,166.04,125
2024-01-02 05:00:00,125,5,1,0,1,1,Winter,0,0,0,Night,26,11,14,5,32,0.58,126,92,36,82,36,82,3,1,43.55,126,129,128.0,133.83,166.17,162
2024-01-02 06:00:00,162,6,1,0,1,1,Winter,0,0,0,Night,29,12,16,5,32,0.743,162,56,36,82,36,82,6,1,54.09,125,154,127.0,127.83,166.0,152
2024-01-02 07:00:00,152,7,1,0,1,1,Winter,0,0,0,Morning,25,11,17,5,32,0.697,152,66,42,96,42,96,3,4,50.58,162,154,137.67,133.5,166.33,193
2024-01-02 08:00:00,193,8,1,0,1,1,Winter,0,0,0,Morning,46,20,19,12,58,0.885,193,25,42,96,42,96,21,3,77.57,152,186,146.33,137.17,166.25,200
2024-01-02 09:00:00,200,9,1,0,1,1,Winter,0,0,0,Morning,46,20,21,16,72,0.917,200,18,42,96,42,96,17,5,84.9,193,201,169.0,148.0,166.54,211
2024-01-02 10:00:00,211,10,1,0,1,1,Winter,0,0,0,Morning,47,20,21,16,72,0.92,201,17,42,96,42,96,18,5,85.3,200,203,181.67,159.67,166.5,202
2024-01-02 11:00:00,202,11,1,0,1,1,Winter,0,0,0,Morning,43,18,21,12,61,0.92,201,17,42,96,42,96,19,4,79.15,211,210,201.33,173.83,166.83,207
2024-01-02 12:00:00,207,12,1,0,1,1,Winter,0,0,0,Morning,44,19,20,14,67,0.92,201,17,42,96,42,96,17,2,81.85,202,207,204.33,186.67,166.5,192
2024-01-02 13:00:00,192,13,1,0,1,1,Winter,0,0,0,Morning,35,15,16,10,52,0.881,192,26,42,96,42,96,22,4,74.34,207,185,206.67,194.17,166.5,176
2024-01-02 14:00:00,176,14,1,0,1,1,Winter,0,0,0,Morning,32,14,18,8,41,0.807,176,42,42,96,42,96,24,5,67.24,192,191,200.33,200.83,166.79,188
2024-01-02 15:00:00,188,15,1,0,1,1,Winter,0,0,0,Evening,34,15,20,8,45,0.862,188,30,42,96,42,96,19,4,69.29,176,180,191.67,198.0,166.17,192
2024-01-02 16:00:00,192,16,1,0,1,1,Winter,0,0,0,Evening,36,15,32,12,58,0.881,192,26,42,96,42,96,21,6,77.29,188,182,185.33,196.0,166.5,172
2024-01-02 17:00:00,172,17,1,0,1,1,Winter,0,0,0,Evening,29,12,29,4,29,0.789,172,46,42,96,42,96,4,5,54.74,192,172,185.33,192.83,166.92,176
2024-01-02 18:00:00,176,18,1,0,1,1,Winter,0,0,0,Evening,30,13,30,5,33,0.807,176,42,42,96,42,96,4,1,57.44,172,172,184.0,187.83,166.92,171
2024-01-02 19:00:00,171,19,1,0,1,1,Winter,0,0,0,Evening,31,13,29,5,32,0.784,171,47,42,96,42,96,3,2,55.81,176,173,180.0,182.67,167.08,172
2024-01-02 20:00:00,172,20,1,0,1,1,Winter,0,0,0,Evening,29,12,29,6,35,0.789,172,46,42,96,42,96,5,1,58.19,171,167,173.0,179.17,167.0,162
2024-01-02 21:00:00,162,21,1,0,1,1,Winter,0,0,0,Evening,30,13,11,6,35,0.743,162,56,42,96,42,96,4,3,55.19,172,154,173.0,178.5,167.21,155
2024-01-02 22:00:00,155,22,1,0,1,1,Winter,0,0,0,Evening,28,12,14,6,35,0.711,155,63,42,96,42,96,3,1,53.01,162,165,168.33,174.17,167.54,155
2024-01-02 23:00:00,155,23,1,0,1,1,Winter,0,0,0,Night,29,12,14,5,32,0.711,155,63,36,82,36,82,7,1,52.41,155,161,163.0,168.0,167.12,118
2024-01-03 00:00:00,118,0,2,0,1,1,Winter,0,0,0,Night,22,9,9,5,32,0.58,126,92,36,82,36,82,5,1,44.05,155,128,157.33,165.17,166.88,119
2024-01-03 01:00:00,119,1,2,0,1,1,Winter,0,0,0,Night,22,9,10,4,29,0.58,126,92,36,82,36,82,3,1,41.95,118,130,142.67,155.5,166.46,133
2024-01-03 02:00:00,133,2,2,0,1,1,Winter,0,0,0,Night,23,10,14,4,29,0.61,133,85,36,82,36,82,4,2,44.01,119,128,130.67,146.83,166.0,121
2024-01-03 03:00:00,121,3,2,0,1,1,Winter,0,0,0,Night,21,9,13,3,26,0.58,126,92,36,82,36,82,4,0,40.6,133,130,123.33,140.33,166.21,119
2024-01-03 04:00:00,119,4,2,0,1,1,Winter,0,0,0,Night,24,10,13,4,29,0.58,126,92,36,82,36,82,4,1,42.2,121,126,124.33,133.5,165.83,126
2024-01-03 05:00:00,126,5,2,0,1,1,Winter,0,0,0,Night,22,9,10,4,29,0.58,126,92,36,82,36,82,3,2,41.95,119,125,124.33,127.5,165.54,159
2024-01-03 06:00:00,159,6,2,0,1,1,Winter,0,0,0,Night,29,12,15,4,29,0.729,159,59,36,82,36,82,7,2,51.91,126,162,122.0,122.67,165.58,148
2024-01-03 07:00:00,148,7,2,0,1,1,Winter,0,0,0,Morning,27,12,13,5,32,0.679,148,70,42,96,42,96,3,5,49.48,159,152,134.67,129.5,165.46,190
2024-01-03 08:00:00,190,8,2,0,1,1,Winter,0,0,0,Morning,46,20,23,12,57,0.872,190,28,42,96,42,96,18,2,75.99,148,193,144.33,134.33,165.29,202
2024-01-03 09:00:00,202,9,2,0,1,1,Winter,0,0,0,Morning,50,22,21,15,70,0.92,201,17,42,96,42,96,21,4,84.45,190,200,165.67,143.83,165.17,206
2024-01-03 10:00:00,206,10,2,0,1,1,Winter,0,0,0,Morning,47,20,20,15,70,0.92,201,17,42,96,42,96,18,4,83.7,202,211,180.0,157.33,165.25,202
2024-01-03 11:00:00,202,11,2,0,1,1,Winter,0,0,0,Morning,50,22,21,16,72,0.92,201,17,42,96,42,96,17,4,85.05,206,202,199.33,171.83,165.04,198
2024-01-03 12:00:00,198,12,2,0,1,1,Winter,0,0,0,Morning,42,18,20,11,57,0.908,198,20,42,96,42,96,19,6,76.85,202,207,203.33,184.5,165.04,182
2024-01-03 13:00:00,182,13,2,0,1,1,Winter,0,0,0,Morning,30,13,16,6,38,0.835,182,36,42,96,42,96,22,3,65.19,198,192,202.0,191.0,164.67,178
2024-01-03 14:00:00,178,14,2,0,1,1,Winter,0,0,0,Morning,34,15,18,7,39,0.817,178,40,42,96,42,96,20,4,65.19,182,176,194.0,196.67,164.25,187
2024-01-03 15:00:00,187,15,2,0,1,1,Winter,0,0,0,Evening,33,14,20,8,45,0.858,187,31,42,96,42,96,19,4,69.02,178,188,186.0,194.67,164.33,182
2024-01-03 16:00:00,182,16,2,0,1,1,Winter,0,0,0,Evening,29,12,35,7,40,0.835,182,36,42,96,42,96,23,5,67.04,187,192,182.33,192.17,164.29,173
2024-01-03 17:00:00,173,17,2,0,1,1,Winter,0,0,0,Evening,30,13,28,7,38,0.794,173,45,42,96,42,96,7,4,60.56,182,172,182.33,188.17,163.88,168
2024-01-03 18:00:00,168,18,2,0,1,1,Winter,0,0,0,Evening,32,14,28,6,35,0.771,168,50,42,96,42,96,9,2,58.09,173,176,180.67,183.33,163.92,179
2024-01-03 19:00:00,179,19,2,0,1,1,Winter,0,0,0,Evening,28,12,34,6,36,0.821,179,39,42,96,42,96,5,0,60.12,168,171,174.33,178.33,163.58,167
2024-01-03 20:00:00,167,20,2,0,1,1,Winter,0,0,0,Evening,32,14,27,6,35,0.766,167,51,42,96,42,96,2,1,56.06,179,172,173.33,177.83,163.92,145
2024-01-03 21:00:00,145,21,2,0,1,1,Winter,0,0,0,Evening,23,10,10,4,29,0.665,145,73,42,96,42,96,6,1,47.81,167,162,171.33,176.0,163.71,159
2024-01-03 22:00:00,159,22,2,0,1,1,Winter,0,0,0,Evening,28,12,17,5,32,0.729,159,59,42,96,42,96,2,2,52.26,145,155,163.67,169.0,163.0,155
2024-01-03 23:00:00,155,23,2,0,1,1,Winter,0,0,0,Night,29,12,16,5,32,0.711,155,63,36,82,36,82,4,0,51.66,159,155,157.0,165.17,163.17,121
2024-01-04 00:00:00,121,0,3,0,1,1,Winter,0,0,0,Night,21,9,14,4,29,0.58,126,92,36,82,36,82,5,1,42.45,155,118,153.0,162.17,163.17,121
2024-01-04 01:00:00,121,1,3,0,1,1,Winter,0,0,0,Night,22,9,11,4,29,0.58,126,92,36,82,36,82,4,1,42.2,121,119,145.0,154.33,163.29,110
2024-01-04 02:00:00,110,2,3,0,1,1,Winter,0,0,0,Night,20,9,10,2,24,0.58,126,92,36,82,36,82,6,1,39.5,121,133,132.33,144.67,163.38,116
2024-01-04 03:00:00,116,3,3,0,1,1,Winter,0,0,0,Night,24,10,13,4,29,0.58,126,92,36,82,36,82,5,0,42.45,110,121,117.33,135.17,162.42,118
2024-01-04 04:00:00,118,4,3,0,1,1,Winter,0,0,0,Night,21,9,12,5,32,0.58,126,92,36,82,36,82,4,0,43.8,116,119,115.67,130.33,162.21,119
2024-01-04 05:00:00,119,5,3,0,1,1,Winter,0,0,0,Night,23,10,11,3,26,0.58,126,92,36,82,36,82,2,2,40.1,118,126,114.67,123.5,162.17,148
2024-01-04 06:00:00,148,6,3,0,1,1,Winter,0,0,0,Night,23,10,14,5,32,0.679,148,70,36,82,36,82,2,0,49.23,119,159,117.67,117.5,161.88,144
2024-01-04 07:00:00,144,7,3,0,1,1,Winter,0,0,0,Morning,30,13,14,4,29,0.661,144,74,42,96,42,96,2,4,46.53,148,148,128.33,122.0,161.42,181
2024-01-04 08:00:00,181,8,3,0,1,1,Winter,0,0,0,Morning,43,18,16,11,51,0.83,181,37,42,96,42,96,23,5,73.17,144,190,137.0,125.83,161.25,187
2024-01-04 09:00:00,187,9,3,0,1,1,Winter,0,0,0,Morning,38,16,20,8,45,0.858,187,31,42,96,42,96,19,5,69.02,181,202,157.67,137.67,160.88,187
2024-01-04 10:00:00,187,10,3,0,1,1,Winter,0,0,0,Morning,45,19,14,12,56,0.858,187,31,42,96,42,96,20,3,75.67,187,206,170.67,149.5,160.25,198
2024-01-04 11:00:00,198,11,3,0,1,1,Winter,0,0,0,Morning,45,19,19,13,63,0.908,198,20,42,96,42,96,23,5,81.05,187,202,185.0,161.0,159.46,185
2024-01-04 12:00:00,185,12,3,0,1,1,Winter,0,0,0,Morning,43,18,16,10,50,0.849,185,33,42,96,42,96,17,4,71.17,198,198,190.67,174.17,159.29,179
2024-01-04 13:00:00,179,13,3,0,1,1,Winter,0,0,0,Morning,30,13,19,9,45,0.821,179,39,42,96,42,96,18,5,68.17,185,182,190.0,180.33,158.75,181
2024-01-04 14:00:00,181,14,3,0,1,1,Winter,0,0,0,Morning,32,14,16,9,46,0.83,181,37,42,96,42,96,18,4,68.72,179,178,187.33,186.17,158.62,183
